Wayfinder Woman: International Women’s Day Event Tina Bridgman Tidal Rave,The Lansdowne Hotel,"",2023-03-10T00:00:00+00:00,2023-05-12 18:30:00 +0100,
Hall Hammond,Belgian Cafe,"",2023-03-11T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Black River,Crown & Anchor,"",2023-03-11T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Funk Soul Brothers (1-4) Stormy-T & Bluesmans Lane (4.30-7.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-03-11T00:00:00+00:00,,
Rooster Tail,The Eagle,@theeagleeb,2023-03-11T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Kilda Street,Eastbourne Working Men’s Club,"",2023-03-11T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Project Diamond,Emerald Bar,@the.emeraldbar,2023-03-11T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Rewind 45,Garden Bar,@gardenbareastbourne,2023-03-11T00:00:00+00:00,2023-05-12 18:00:00 +0100,
Leading Ladies Musical Tribute,Grove Theatre,@grovetheatreeastbourne,2023-03-11T00:00:00+00:00,2023-05-12 19:30:00 +0100,
Bedraggled,Langney Sports Club,"",2023-03-11T00:00:00+00:00,2023-05-12 20:30:00 +0100,
